Feature,All.Get.Out,Manchester.Orchestra,The.Front.Bottoms
curiosity,Out of Range,Outlying,Out of Range
allure,Within Range,Within Range,Within Range
Perception,Out of Range,Within Range,Out of Range
attention,Within Range,Within Range,Within Range
motion,Within Range,Within Range,Within Range
space,Within Range,Within Range,Within Range
visual,Within Range,Within Range,Within Range
auditory,Within Range,Within Range,Within Range
feeling,Within Range,Within Range,Within Range
time,Out of Range,Within Range,Within Range
focuspast,Within Range,Within Range,Within Range
focuspresent,Within Range,Within Range,Within Range
focusfuture,Within Range,Within Range,Within Range
Conversation,Within Range,Within Range,Within Range
netspeak,Within Range,Within Range,Within Range
assent,Within Range,Within Range,Within Range
nonflu,Within Range,Within Range,Within Range
filler,Within Range,Within Range,Within Range
AllPunc,Within Range,Within Range,Within Range
Period,Within Range,Within Range,Within Range
Comma,Within Range,Within Range,Within Range
QMark,Within Range,Within Range,Within Range
Exclam,Within Range,Within Range,Within Range
Apostro,Within Range,Within Range,Within Range
OtherP,Outlying,Outlying,Within Range
Emoji,Within Range,Within Range,Within Range
positivewords,Outlying,Outlying,Within Range
negativewords,Within Range,Within Range,Within Range
